2019-10-21 20:56:37 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 22,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 912.0; Tile: FINISH
2019-10-21 20:56:37 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 911.0; Tile: FINISH
2019-10-21 20:56:38 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 910.0; Tile: FINISH
2019-10-21 20:56:38 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 175.0; Health Usage: 200.0; Fuel: 909.0; Tile: FINISH
2019-10-21 20:56:39 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 175.0; Health Usage: 200.0; Fuel: 909.0; Tile: FINISH
2019-10-21 20:56:39 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 175.0; Health Usage: 200.0; Fuel: 909.0; Tile: FINISH
2019-10-21 20:56:40 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 175.0; Health Usage: 200.0; Fuel: 909.0; Tile: FINISH
2019-10-21 20:56:40 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 908.0; Tile: FINISH
2019-10-21 20:56:41 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 908.0; Tile: FINISH
2019-10-21 20:56:41 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,16; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 908.0; Tile: FINISH
2019-10-21 20:56:42 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:42 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:43 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:43 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:44 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:44 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
2019-10-21 20:56:45 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 23,17; Parcels:      1; Health: 170.0; Health Usage: 200.0; Fuel: 907.0; Tile: FINISH
